Player,AvgPick
Jack Hughes,1
Kaapo Kakko,2
Bowen Byram,3.657327
Alex Turcotte,4.035267
Vasili Podkolzin,6.489379
Trevor Zegras,6.551282
Dylan Cozens,7.162725
Kirby Dach,7.717507
Cole Caufield,8.332175
Peyton Krebs,9.750974
Matthew Boldy,10.35827
Alex Newhook,13.456079
Philip Broberg,13.651003
Victor Soderstrom,14.265417
Cam York,16.43782
Arthur Kaliyev,17.142244
Moritz Seider,17.357997
Bobby Brink,19.710476
Raphael Lavoie,20.330199
Thomas Harley,20.44666
Pavel Dorofeyev,20.624828
Spencer Knight,20.851609
Ryan Suzuki,21.45873
Ville Heinola,22.928824
Philip Tomasino,25.33735
Jakob Pelletier,26.002011
Nils Hoglander,27.22322
Matthew Robertson,29.10101
Simon Holmstrom,29.179464
Ryan Johnson,30.304074
Samuel Poulin,30.333101
Ilya Nikolayev,30.431725
Yegor Afanasyev,30.628466
Tobias Bjornfot,30.970363
Connor McMichael,31.182749
Anttoni Honka,31.426941
Patrik Puistola,31.522317
Robert Mastrosimone,31.566017
Nicholas Robertson,31.56674
Vladislav Kolyachonok,31.859537
Brett Leason,31.870662
Albin Grewe,31.893417
Nick Abruzzese,31.93039
Alex Vlasic,31.97
Kaedan Korczak,31.991802
Mikko Kokkonen,31.995105
Lassi Thomson,31.99818
Albert Johansson,31.999185
Ronnie Attard,31.99944
Maxim Cajkovic,31.999961
Marshall Warren,31.999993
Michal Teply,31.999995
Drew Helleson,31.999995
Nathan Legare,31.999998
Yegor Spiridonov,32
John Beecher,32
Jamieson Rees,32
Samuel Fagemo,32
